epoch,train_loss,val_loss,train_acc1,val_acc1,train_acc5,val_acc5
34,0.3999394344043732,0.5868450724601746,95.682,88.17,99.874,98.72
35,0.39265699613571164,0.6025044242858887,96.022,87.58,99.908,98.78
36,0.3908368983650208,0.6031225946426392,95.986,87.25,99.876,98.51
37,0.38795516909599304,0.599247397327423,96.206,87.84,99.922,98.64
38,0.37711821838378906,0.5715993400096894,96.656,88.66,99.908,98.73
39,0.3750018326473236,0.5779267844200134,96.708,88.39,99.948,98.77
40,0.3718013487148285,0.5782687401294708,96.964,88.82,99.934,98.76
41,0.3680178309726715,0.570206429386139,97.122,88.83,99.924,98.84
42,0.3633800689315796,0.5808783197879791,97.29,88.42,99.938,98.74
43,0.3608665139198303,0.5911246190547943,97.35,88.1,99.942,98.82
44,0.3582055292510986,0.5615077050209045,97.52,89.31,99.954,98.75
45,0.35442836092948915,0.5661083092689514,97.678,89.09,99.948,98.96
46,0.3518445913887024,0.5587022533416748,97.814,89.24,99.956,98.89
47,0.3518968355369568,0.5704558813095093,97.716,88.8,99.954,98.93
48,0.34665193151474,0.5812045909881591,98.02,88.74,99.97,98.32
49,0.3436901633453369,0.5456335786819458,98.09,89.83,99.968,98.69
50,0.3414418508720398,0.5860776260375976,98.2,88.67,99.962,98.36
51,0.33908399797439576,0.5566721723556518,98.28,89.11,99.978,98.96
52,0.3378367031288147,0.5437349511146545,98.278,89.97,99.978,98.94
53,0.33814070474624636,0.5591261452674866,98.372,89.82,99.976,98.77
54,0.3335185709381103,0.5756227952003479,98.48,88.68,99.982,98.62
55,0.33313593152046206,0.5547023538112641,98.54,89.67,99.984,98.6
56,0.3314452483558655,0.5374109508991242,98.624,90.03,99.976,99.08
57,0.32907559697151184,0.5462911762237549,98.74,90.08,99.984,98.63
58,0.3244132844161987,0.5365242157459259,98.85,90.37,99.99,98.83
59,0.3252539843177795,0.551793492269516,98.87,89.94,99.984,98.62
60,0.3249997183227539,0.5442809229850769,98.902,90.25,99.976,98.43
61,0.32337720265388487,0.549738032913208,98.91,89.75,99.98,98.83
62,0.3241745429420471,0.5478780962944031,98.864,89.99,99.984,98.9
63,0.31793137071609495,0.5526564485549926,99.13,89.64,99.978,98.65
64,0.32116698506355285,0.5484802496910095,99.0,90.12,99.996,98.49
65,0.31680101179122927,0.5424363854408264,99.124,90.46,99.99,98.57
66,0.3173586724281311,0.5433061785221099,99.148,90.52,99.99,98.75
67,0.31709083943367006,0.5368014125823974,99.166,90.76,99.994,98.79
68,0.3151675745868683,0.5392201933383942,99.224,90.41,99.994,98.59
69,0.31273563634872437,0.5224323729038238,99.34,91.22,99.994,98.45
70,0.3138496169090271,0.5377945132255554,99.308,90.61,99.996,98.8
71,0.31023219190597534,0.5342486003875733,99.39,90.53,99.994,98.86
72,0.31093188833236696,0.5328159049987793,99.39,90.62,99.998,98.83
73,0.3091853513240814,0.5314103500366211,99.496,90.82,99.992,98.79
74,0.30653622627258303,0.5364189682006836,99.536,90.63,99.998,98.72
75,0.31000585794448854,0.5294413591384888,99.41,91.07,100.0,98.82
76,0.30843550860404967,0.5275529708862304,99.54,91.0,99.998,98.62
77,0.3074644549465179,0.5190670401096344,99.55,91.11,100.0,98.63
78,0.3066319816684723,0.5329953183650971,99.566,90.77,99.998,98.68
79,0.30552075483322144,0.5181258298397065,99.604,91.38,99.998,98.72
80,0.30509963150024416,0.5211271457672119,99.61,90.99,100.0,98.77
81,0.3044431964206696,0.5217045188903808,99.624,91.16,99.996,98.79
82,0.3045440252971649,0.5302679366111755,99.646,91.01,99.998,98.68
83,0.3030046232509613,0.5256762058258057,99.682,91.18,99.998,98.8
84,0.3033931922340393,0.5192511469841004,99.682,91.16,100.0,98.6
85,0.30218066566467283,0.5214807025432586,99.746,91.26,99.998,98.9
86,0.3019323821640015,0.5179055562019348,99.736,91.36,99.996,98.65
87,0.30280360416412355,0.5189344915866851,99.73,91.21,100.0,98.49
88,0.30258088116645815,0.5141442338943482,99.706,91.43,100.0,98.66
